address,transport_name,fingerprint,hashed_fingerprint,distributor,name,category_code,date_added,date_published,data_format_version,source,notes
obfs3 83.212.101.3:80 A09D536DD1752D542E1FBB3C9CE4449D51298239,obfs3,A09D536DD1752D542E1FBB3C9CE4449D51298239,3e0908f131ac417c48ddd835d78fb6887f4cd126,tbb,tor/bridges,ANON,2015-03-20,2014-02-28,0.1,The Tor Project,
obfs3 169.229.59.74:31493 AF9F66B7B04F8FF6F32D455F05135250A16543C9,obfs3,AF9F66B7B04F8FF6F32D455F05135250A16543C9,6ce1370edfe977e7a3124b7c1e543b533a1c6e9c,tbb,tor/bridges,ANON,2015-03-20,2013-11-7,0.1,The Tor Project,
obfs3 169.229.59.75:46328 AF9F66B7B04F8FF6F32D455F05135250A16543C9,obfs3,AF9F66B7B04F8FF6F32D455F05135250A16543C9,6ce1370edfe977e7a3124b7c1e543b533a1c6e9c,tbb,tor/bridges,ANON,2015-03-20,2013-11-7,0.1,The Tor Project,
obfs3 109.105.109.163:38980 1E05F577A0EC0213F971D81BF4D86A9E4E8229ED,obfs3,1E05F577A0EC0213F971D81BF4D86A9E4E8229ED,a72d5db45d9de4b244d3f6c4ad22a66f40bf5b87,tbb,tor/bridges,ANON,2015-03-20,2014-10-21,0.1,The Tor Project,
obfs3 109.105.109.163:47779 4C331FA9B3D1D6D8FB0D8FBBF0C259C360D97E6A,obfs3,4C331FA9B3D1D6D8FB0D8FBBF0C259C360D97E6A,73d8ff840444f84ec50dd755fbad44cf1f0de28b,tbb,tor/bridges,ANON,2015-03-20,2014-10-21,0.1,The Tor Project,
flashproxy 0.0.1.0:1,flashproxy,,,tbb,tor/bridges,ANON,2015-03-20,2013-11-07,0.1,The Tor Project,
flashproxy 0.0.1.0:2,flashproxy,,,tbb,tor/bridges,ANON,2015-03-20,2014-03-17,0.1,The Tor Project,
flashproxy 0.0.1.0:3,flashproxy,,,tbb,tor/bridges,ANON,2015-03-20,2014-03-17,0.1,The Tor Project,
flashproxy 0.0.1.0:4,flashproxy,,,tbb,tor/bridges,ANON,2015-03-20,2014-03-17,0.1,The Tor Project,
flashproxy 0.0.1.0:5,flashproxy,,,tbb,tor/bridges,ANON,2015-03-20,2014-03-17,0.1,The Tor Project,
fte 192.240.101.106:80 B629B0B607C8AC9349B5646C24E9D242184F5B6E,fte,B629B0B607C8AC9349B5646C24E9D242184F5B6E,7c377e4f6cc8bd1bc1039f1e2da4fc2d36b2d728,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
fte 50.7.176.114:80 2BD466989944867075E872310EBAD65BC88C8AEF,fte,2BD466989944867075E872310EBAD65BC88C8AEF,1ceea6f2536f333b29604408ddde106b239c0234,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
fte 131.252.210.150:8080 0E858AC201BF0F3FA3C462F64844CBFFC7297A42,fte,0E858AC201BF0F3FA3C462F64844CBFFC7297A42,4ecb053e4ae75836a488dbdf8e1368f73cb418fe,tbb,tor/bridges,ANON,2015-03-20,2014-10-02,0.1,The Tor Project,
