url,category_code,category_description,date_added,source,notes
https://astrill.com/,ANON,Anonymization and circumvention tools,2018-02-01,AFTE,
https://connectedover.com/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://cool-proxy.net/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://cyberghostvpn.com/,ANON,Anonymization and circumvention tools,2017-06-23,AFTE,
https://eliteproxyswitcher.com/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://freesafeip.com/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://freevpn.pw/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://freevpn.us/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://getgom.com/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://httptunnel.ge/,ANON,Anonymization and circumvention tools,2018-02-01,AFTE,
https://jailbreakvpn.com/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://libertyshield.com/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://popunderfreeproxy.eu/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://privoxy.org/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://proxy-listen.de/,ANON,Anonymization and circumvention tools,2018-08-02,AFTE,
https://proxy-youtube.com/,ANON,Anonymization and circumvention tools,2017-12-06,AFTE,
https://proxybonanza.com/,ANON,Anonymization and circumvention tools,2017-12-06,AFTE,
https://proxyhttp.net/,ANON,Anonymization and circumvention tools,2018-02-01,AFTE,
https://proxylistplus.com/,ANON,Anonymization and circumvention tools,2018-02-01,AFTE,
https://proxyservers.pro/,ANON,Anonymization and circumvention tools,2018-02-01,AFTE,
https://sockslist.net/,ANON,Anonymization and circumvention tools,2018-02-01,AFTE,
https://www.4everproxy.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://www.anonym.to/,ANON,Anonymization and circumvention tools,2017-09-05,AFTE,
https://www.atozproxy.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://www.awebproxy.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://www.awmproxy.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://www.bitchop.net/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://blackvpn.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://blewpass.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://boomproxy.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://www.bramka-proxy.pl/,ANON,Anonymization and circumvention tools,2017-10-21,AFTE,
https://www.cactusvpn.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://fiberproxy.net/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://www.free-proxy-list.net/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://free-proxyserver.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://freeeuroproxy.com/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
https://www.freeproxy.asia/,ANON,Anonymization and circumvention tools,2017-08-30,AFTE,
